Value,UW(Recall),UW (Precision),CJMSD(Recall),CJMSD (Precision),Correlation(Recall),Correlation (Precision),Cosine(Recall),Cosine (Precision),Jaccard(Recall),Jaccard (Precision),MSD(Recall),MSD (Precision),PIP(Recall),PIP (Precision)
1,0.70618556701,0.13959042375,0.73195876289,0.14666306921,0.68253968254,0.12449885818,0.66137566138,0.12198634088,0.77319587629,0.15214327447,0.74611398964,0.14488433448,0.75257731959,0.1499679288
2,0.70618556701,0.26890440931,0.75,0.29814906618,0.67195767196,0.22802752154,0.66666666667,0.22488529932,0.75257731959,0.28624444336,0.71502590674,0.25941708496,0.75,0.28355825198
3,0.68127147766,0.381088902,0.74656357388,0.4042714962,0.67636684303,0.31575365486,0.66225749559,0.28582972841,0.735395189,0.39259493353,0.70034542314,0.34981310538,0.7560137457,0.40646904555
4,0.67225085911,0.46442314756,0.72508591065,0.48206672023,0.67768959436,0.37709342907,0.64462081129,0.32773104216,0.71348797251,0.473017805,0.6981865285,0.42975637636,0.73754295533,0.49183017935
5,0.67585910653,0.53788396053,0.70859106529,0.55071890789,0.67425044092,0.42237826798,0.63668430335,0.35380336164,0.7116838488,0.54512460522,0.69222797927,0.47795569854,0.7176975945,0.55851314603
6,0.66365979381,0.58165825949,0.70137457045,0.60446728254,0.66313932981,0.45231151404,0.63333333333,0.37653781467,0.70378006873,0.59295930262,0.68203799655,0.51645181325,0.70704467354,0.61645467095
7,0.6572778596,0.62429748146,0.69216985763,0.65013670344,0.65192743764,0.46921060145,0.63358528597,0.39477866601,0.69469808542,0.63346429308,0.67821366889,0.5502998131,0.70164457536,0.65974543711
8,0.65267550319,0.66732054508,0.68609474718,0.69250067799,0.65202191988,0.48964126197,0.6288611741,0.41142514139,0.69156848306,0.67904000858,0.67719590427,0.58107346229,0.68682498773,0.69308814191
9,0.65174480445,0.70721144948,0.6762866143,0.72584868546,0.65268329554,0.50853029163,0.62445200302,0.4215679552,0.6831921944,0.70864175549,0.66632946788,0.5942801388,0.67307928326,0.71892076968
10,0.64830837833,0.73272746852,0.66563369334,0.74910910783,0.64909716973,0.51936309501,0.62115982195,0.4311752281,0.67082106038,0.72994592332,0.66339337117,0.60788841201,0.66546187203,0.74257102824
