Value,UW(Recall),UW (Precision),PIP(Recall),PIP (Precision),CJMSD(Recall),CJMSD (Precision),Correlation(Recall),Correlation (Precision)
1,0.61818181818,0.13545660665,0.75454545455,0.15851666168,0.77272727273,0.15175246106,0.64814814815,0.10754458897
2,0.65909090909,0.28674487966,0.73181818182,0.2806158877,0.73181818182,0.28840786582,0.66203703704,0.23539292775
3,0.65757575758,0.37999163528,0.72727272727,0.41448077165,0.71212121212,0.40720561932,0.66049382716,0.31353849699
4,0.66287878788,0.46805676242,0.68560606061,0.49209360759,0.68560606061,0.48908205692,0.6450617284,0.37207709735
5,0.64560606061,0.52661368067,0.66515151515,0.54944928708,0.67696969697,0.55469177273,0.62885802469,0.40254497874
6,0.6353030303,0.56835584314,0.65515151515,0.602281032,0.66484848485,0.60841857323,0.62391975309,0.42884266683
7,0.63248917749,0.61128157364,0.65082251082,0.64578083466,0.64818181818,0.64444470045,0.62149470899,0.45714614182
8,0.625995671,0.64808101173,0.63702380952,0.67583374678,0.63925324675,0.68433728582,0.62447089947,0.4733892922
9,0.62132395382,0.67688436061,0.63058441558,0.70237496254,0.63054112554,0.70663535397,0.62254188713,0.48729059008
10,0.61768759019,0.70050060675,0.62290764791,0.72604527431,0.62377344877,0.73051609749,0.61770649618,0.49513331728
